,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf
384,35.9,44.1,5,0,0,0,0,0,0,10,5
385,34.9,44.1,5,0,0,0,0,0,0,11,5
386,33.9,44.1,5,0,0,0,0,0,0,12,5
387,32.9,44.1,5,0,0,0,0,0,0,13,5
388,31.9,44.1,5,0,0,0,0,0,0,14,5
389,30.9,44.1,5,0,0,0,0,0,0,15,5
390,39.9,44.1,5,0,0,0,0,0,0,5,6
391,38.9,44.1,5,0,0,0,0,0,0,6,6
392,37.9,44.1,5,0,0,0,0,0,0,7,6
393,36.9,44.1,5,0,0,0,0,0,0,8,6
394,35.9,44.1,5,0,0,0,0,0,0,9,6
395,34.9,44.1,5,0,0,0,0,0,0,10,6
396,33.9,44.1,5,0,0,0,0,0,0,11,6
397,32.9,44.1,5,0,0,0,0,0,0,12,6
398,31.9,44.1,5,0,0,0,0,0,0,13,6
399,30.9,44.1,5,0,0,0,0,0,0,14,6
400,39.9,44.1,5,0,0,0,0,0,0,4,7
401,38.9,44.1,5,0,0,0,0,0,0,5,7
402,37.9,44.1,5,0,0,0,0,0,0,6,7
403,36.9,44.1,5,0,0,0,0,0,0,7,7
404,35.9,44.1,5,0,0,0,0,0,0,8,7
405,34.9,44.1,5,0,0,0,0,0,0,9,7
406,33.9,44.1,5,0,0,0,0,0,0,10,7
407,32.9,44.1,5,0,0,0,0,0,0,11,7
408,31.9,44.1,5,0,0,0,0,0,0,12,7
409,30.9,44.1,5,0,0,0,0,0,0,13,7
410,39.9,44.1,5,0,0,0,0,0,0,3,8
411,38.9,44.1,5,0,0,0,0,0,0,4,8
412,37.9,44.1,5,0,0,0,0,0,0,5,8
413,36.9,44.1,5,0,0,0,0,0,0,6,8
414,35.9,44.1,5,0,0,0,0,0,0,7,8
415,34.9,44.1,5,0,0,0,0,0,0,8,8
416,33.9,44.1,5,0,0,0,0,0,0,9,8
417,32.9,44.1,5,0,0,0,0,0,0,10,8
418,31.9,44.1,5,0,0,0,0,0,0,11,8
419,30.9,44.1,5,0,0,0,0,0,0,12,8
420,39.9,44.1,5,0,0,0,0,0,0,2,9
421,38.9,44.1,5,0,0,0,0,0,0,3,9
422,37.9,44.1,5,0,0,0,0,0,0,4,9
423,36.9,44.1,5,0,0,0,0,0,0,5,9
424,35.9,44.1,5,0,0,0,0,0,0,6,9
425,34.9,44.1,5,0,0,0,0,0,0,7,9
426,33.9,44.1,5,0,0,0,0,0,0,8,9
427,32.9,44.1,5,0,0,0,0,0,0,9,9
428,31.9,44.1,5,0,0,0,0,0,0,10,9
429,30.9,44.1,5,0,0,0,0,0,0,11,9
430,39.9,44.1,5,0,0,0,0,0,0,1,10
431,38.9,44.1,5,0,0,0,0,0,0,2,10
432,37.9,44.1,5,0,0,0,0,0,0,3,10
433,36.9,44.1,5,0,0,0,0,0,0,4,10
434,35.9,44.1,5,0,0,0,0,0,0,5,10
435,34.9,44.1,5,0,0,0,0,0,0,6,10
436,33.9,44.1,5,0,0,0,0,0,0,7,10
437,32.9,44.1,5,0,0,0,0,0,0,8,10
438,31.9,44.1,5,0,0,0,0,0,0,9,10
439,30.9,44.1,5,0,0,0,0,0,0,10,10
440,39.9,44.1,5,0,0,0,0,0,0,0,11
441,38.9,44.1,5,0,0,0,0,0,0,1,11
442,37.9,44.1,5,0,0,0,0,0,0,2,11
443,36.9,44.1,5,0,0,0,0,0,0,3,11
444,35.9,44.1,5,0,0,0,0,0,0,4,11
445,34.9,44.1,5,0,0,0,0,0,0,5,11
446,33.9,44.1,5,0,0,0,0,0,0,6,11
447,32.9,44.1,5,0,0,0,0,0,0,7,11
448,31.9,44.1,5,0,0,0,0,0,0,8,11
449,30.9,44.1,5,0,0,0,0,0,0,9,11
450,38.9,44.1,5,0,0,0,0,0,0,0,12
451,37.9,44.1,5,0,0,0,0,0,0,1,12
452,36.9,44.1,5,0,0,0,0,0,0,2,12
453,35.9,44.1,5,0,0,0,0,0,0,3,12
454,34.9,44.1,5,0,0,0,0,0,0,4,12
455,33.9,44.1,5,0,0,0,0,0,0,5,12
456,32.9,44.1,5,0,0,0,0,0,0,6,12
457,31.9,44.1,5,0,0,0,0,0,0,7,12
458,30.9,44.1,5,0,0,0,0,0,0,8,12
459,37.9,44.1,5,0,0,0,0,0,0,0,13
460,36.9,44.1,5,0,0,0,0,0,0,1,13
461,35.9,44.1,5,0,0,0,0,0,0,2,13
462,34.9,44.1,5,0,0,0,0,0,0,3,13
463,33.9,44.1,5,0,0,0,0,0,0,4,13
464,32.9,44.1,5,0,0,0,0,0,0,5,13
465,31.9,44.1,5,0,0,0,0,0,0,6,13
466,30.9,44.1,5,0,0,0,0,0,0,7,13
467,36.9,44.1,5,0,0,0,0,0,0,0,14
468,35.9,44.1,5,0,0,0,0,0,0,1,14
469,34.9,44.1,5,0,0,0,0,0,0,2,14
470,33.9,44.1,5,0,0,0,0,0,0,3,14
471,32.9,44.1,5,0,0,0,0,0,0,4,14
472,31.9,44.1,5,0,0,0,0,0,0,5,14
473,30.9,44.1,5,0,0,0,0,0,0,6,14
474,35.9,44.1,5,0,0,0,0,0,0,0,15
475,34.9,44.1,5,0,0,0,0,0,0,1,15
476,33.9,44.1,5,0,0,0,0,0,0,2,15
477,32.9,44.1,5,0,0,0,0,0,0,3,15
478,31.9,44.1,5,0,0,0,0,0,0,4,15
479,30.9,44.1,5,0,0,0,0,0,0,5,15
480,34.9,44.1,5,0,0,0,0,0,0,0,16
481,33.9,44.1,5,0,0,0,0,0,0,1,16
482,32.9,44.1,5,0,0,0,0,0,0,2,16
483,31.9,44.1,5,0,0,0,0,0,0,3,16
484,30.9,44.1,5,0,0,0,0,0,0,4,16
