,Ti,Ni,Cu,Hf,Zr,hp1,hp2,hpVary
93,46.0,43.0,8,0,3,67.97716774317814,-42.485833971135435,110.46300171431358
94,46.0,46.0,5,1,2,-43.20818379352568,67.61248560441163,110.82066939793731
95,45.0,42.0,9,4,0,-58.955872912483755,52.04810626235121,111.00397917483497
96,46.0,49.0,2,2,1,-43.84239979660197,67.33593728518463,111.1783370817866
97,46.0,44.0,7,0,3,69.42849670159922,-42.472688272202504,111.90118497380172
98,46.0,47.0,4,1,2,-43.07250396601739,69.18634869138623,112.25885265740362
99,45.0,43.0,8,4,0,-58.75907935127907,53.683083082927624,112.4421624342067
100,46.0,50.0,1,2,1,-43.58418584057654,69.03233450073458,112.61652034131112
101,46.0,45.0,6,0,3,-42.401912075292785,70.93745615793887,113.33936823323165
102,45.0,41.0,10,3,1,55.007005733314145,-58.515672276640544,113.52267800995469
103,46.0,48.0,3,1,2,-42.87919364061963,70.81784227635217,113.6970359169718
104,45.0,44.0,7,4,0,55.37569040153903,-58.50465529234498,113.88034569388401
105,46.0,51.0,0,2,1,-43.26834138654522,70.78636221421766,114.05470360076288
106,46.0,46.0,5,0,3,-42.273505380391725,72.50404611236445,114.77755149275617
107,45.0,42.0,9,3,1,56.634709421261505,-58.32615184831957,114.96086126958107
108,46.0,49.0,2,1,2,-42.628252817245084,72.50696635926579,115.13521917651087
109,45.0,45.0,6,4,0,-58.19260073505575,57.125928218061745,115.3185289531175
110,46.0,47.0,4,0,3,-42.08746818754298,74.12826656460675,116.21573475214973
111,45.0,43.0,8,3,1,58.32004360719293,-58.07900092173077,116.3990445289237
112,46.0,50.0,1,1,2,-42.31968149576278,74.25372094020713,116.57340243596991
113,45.0,46.0,5,4,0,-57.82291568015353,58.933796532583074,116.7567122127366
114,45.0,41.0,10,2,2,-58.064705048062024,59.414855056704255,117.47956010476628
115,46.0,48.0,3,0,3,-41.84380049680476,75.81011751488404,117.6539180116888
116,45.0,44.0,7,3,1,60.06300829112297,-57.774219497296144,117.83722778841911
117,46.0,51.0,0,1,2,76.05810601901612,-41.95347967630369,118.01158569531981
118,45.0,47.0,4,4,0,-57.39560012702714,60.79929534504481,118.19489547207195
119,45.0,42.0,9,2,2,61.092916109992075,-57.82482725416776,118.91774336415983
120,46.0,49.0,2,0,3,-41.542502307973336,77.54959896315995,119.09210127113329
121,45.0,45.0,6,3,1,-57.41180757492839,61.86360347297159,119.27541104789998
122,45.0,48.0,3,4,0,-56.91065407608403,62.72242465549061,119.63307873157464
123,45.0,43.0,8,2,2,62.82860766124213,-57.527318962296704,120.35592662353883
124,46.0,50.0,1,0,3,79.34671090935444,-41.183573621252435,120.53028453060688
125,45.0,46.0,5,3,1,63.72182915281883,-56.991765154583845,120.71359430740267
126,45.0,49.0,2,4,0,64.7031844639132,-56.36807752713503,121.07126199104823
127,45.0,41.0,10,1,3,-57.742134289524984,63.69430790984916,121.43644219937414
128,45.0,44.0,7,2,2,64.62192971051263,-57.17218017257983,121.79410988309246
129,46.0,51.0,0,0,3,81.20145335351845,-40.76701443658385,121.9684677901023
130,45.0,47.0,4,3,1,65.63768533060647,-56.51409223624796,122.15177756685443
131,45.0,50.0,1,4,0,66.74157477022527,-55.76787048029655,122.50944525052182
132,45.0,42.0,9,1,3,65.42272632843378,-57.45189913029026,122.87462545872404
133,45.0,45.0,6,2,2,-56.75941088487161,66.47288225766533,123.23229314253695
134,44.0,41.0,10,5,0,50.99153872871102,-72.42406419054896,123.41560291925998
135,45.0,48.0,3,3,1,-55.97878881994984,67.61117200635636,123.5899608263062
136,45.0,51.0,0,4,0,68.83759557456506,-55.11003293553949,123.94762851010455
137,45.0,43.0,8,1,3,-57.10403347326792,67.20877524504613,124.31280871831405
138,45.0,46.0,5,2,2,68.38146530280937,-56.28901109925937,124.67047640206874
139,44.0,42.0,9,5,0,52.96123550746415,-71.89255067131307,124.85378617877723
140,45.0,49.0,2,3,1,-55.385854905616725,69.64228918006847,125.0281440856852
141,45.0,41.0,10,0,4,-57.5479600012477,67.84536429272703,125.39332429397473
142,45.0,44.0,7,1,3,-56.69853731818148,69.05245465961343,125.75099197779491
143,45.0,47.0,4,2,2,70.34767884598114,-55.760980815583025,126.10865966156416
144,44.0,43.0,8,5,0,-71.30340665398398,54.98856278420135,126.29196943818533
145,45.0,50.0,1,3,1,71.73103685173555,-54.73529049348144,126.466327345217
146,45.0,42.0,9,0,4,69.62414007669577,-57.20736747678893,126.8315075534847
147,45.0,45.0,6,1,3,-56.23541066504549,70.95376457215025,127.18917523719574
148,44.0,41.0,10,4,1,-72.20502131973626,55.16746369420434,127.3724850139406
149,45.0,48.0,3,2,2,72.37152288699872,-55.17532003392989,127.54684292092861
150,44.0,44.0,7,5,0,-70.65663213872176,57.07352055893716,127.73015269765892
151,45.0,51.0,0,3,1,-54.02709558328206,73.87741502137942,127.90451060466148
152,45.0,43.0,8,0,4,-56.80914445441158,71.46054635861947,128.26969081303105
153,45.0,46.0,5,1,3,72.91270498258382,-55.71465351412189,128.6273584967057
154,44.0,42.0,9,4,1,57.187517838261556,-71.62315043508715,128.8106682733487
155,45.0,49.0,2,2,2,-54.53202875435818,74.45299742604402,128.9850261804022
156,44.0,45.0,6,5,0,59.21610883160611,-69.95222712557006,129.16833595717617
157,45.0,44.0,7,0,4,-56.35329093391192,73.35458313851268,129.7078740724246
158,45.0,47.0,4,1,3,-55.136265865148744,74.92927589100873,130.06554175615747
159,44.0,43.0,8,4,1,59.26520248034649,-70.98364905260678,130.24885153295327
160,45.0,50.0,1,2,2,76.59210246304428,-53.83110697683878,130.42320943988307
161,44.0,46.0,5,5,0,61.416327602244564,-69.19019161438337,130.60651921662793
162,45.0,45.0,6,0,4,-55.839806915595545,75.30625041638996,131.1460573319855
163,44.0,41.0,10,3,2,59.21499218939425,-72.11437491924153,131.32936710863578
164,45.0,48.0,3,1,3,77.00347729739588,-54.50024771819881,131.50372501559468
165,44.0,44.0,7,4,1,61.40051762038638,-70.28651717204775,131.68703479243413
166,45.0,51.0,0,2,2,78.78883799805772,-53.0725547013426,131.8613926994003
167,44.0,47.0,4,5,0,-68.3705256053072,63.67417687084526,132.04470247615245
168,45.0,46.0,5,0,4,77.31554819212761,-55.26869239921507,132.58424059134268
169,44.0,42.0,9,3,2,61.285403698879236,-71.48214666932472,132.76755036820396
170,45.0,49.0,2,1,3,79.13530920178164,-53.80659907325753,132.94190827503917
171,44.0,45.0,6,4,1,63.59346325836668,-69.53175479345373,133.1252180518204
172,44.0,48.0,3,5,0,-67.49322909818147,65.98965663737908,133.48288573556056
173,45.0,47.0,4,0,4,-54.63994738498877,79.3824764658857,134.02242385087447
174,44.0,43.0,8,3,2,63.4134457062537,-70.79228792132926,134.20573362758296
175,45.0,50.0,1,1,3,81.32477160407143,-53.05531993044133,134.38009153451276
176,44.0,46.0,5,4,1,65.8440393943165,-68.71936191695568,134.56340131127217
177,44.0,49.0,2,5,0,-66.55830209310807,68.36276690190425,134.92106899501232
178,44.0,41.0,10,2,3,63.13412421444082,-72.15212498890469,135.2862492033455
179,45.0,48.0,3,0,4,81.50703523756238,-53.95357187266927,135.46060711023165
180,44.0,44.0,7,3,2,-70.04479867537157,65.59911821156857,135.64391688694013
181,45.0,51.0,0,1,3,-52.24641028967744,83.57186450439622,135.81827479407366
182,44.0,47.0,4,4,1,68.15224602826493,-67.84933854256815,136.00158457083307
183,44.0,50.0,1,5,0,-65.56574459017429,70.79350766436983,136.35925225454412
184,44.0,42.0,9,2,3,-71.46953937361832,65.25489308921533,136.72443246283365
185,45.0,49.0,2,0,4,83.6892245073177,-53.209565862387535,136.89879036970524
186,44.0,45.0,6,3,2,67.84242121488933,-69.23967893162626,137.0821001465156
187,43.0,41.0,10,6,0,-84.76018269051565,52.505227232701145,137.2654099232168
188,44.0,48.0,3,4,1,70.51808316010283,-66.92168467004376,137.4397678301466
189,44.0,51.0,0,5,0,73.28187892481947,-64.5155565890891,137.79743551390857
190,44.0,43.0,8,2,3,67.43329246193025,-70.72932326038426,138.1626157223145
191,45.0,50.0,1,0,4,85.92904427494796,-52.40792935425998,138.33697362920793
192,44.0,46.0,5,3,2,70.1433547161214,-68.37692868991871,138.5202834060401
193,43.0,42.0,9,6,0,54.867274467571406,-83.8363187150826,138.703593182654
194,44.0,49.0,2,4,1,72.94155078993208,-65.9364002997172,138.8779510896493
195,44.0,41.0,10,1,4,66.9248597692058,-72.31827152878395,139.24313129798975
196,44.0,44.0,7,2,3,-69.93147664910066,69.66932233255648,139.60079898165714
197,45.0,51.0,0,0,4,-51.54866234814108,88.22649454053317,139.77515688867425
198,44.0,47.0,4,3,2,72.50191871539573,-67.4565479499579,139.95846666535363
199,43.0,43.0,8,6,0,57.28695220046211,-82.85482424168731,140.14177644214942
200,44.0,50.0,1,4,1,-64.89348543142842,75.42264891775994,140.31613434918836
201,44.0,42.0,9,1,4,-71.58532854811347,69.09598600925528,140.68131455736875
202,44.0,45.0,6,2,3,-69.07599953994213,71.96298270118132,141.03898224112345
203,43.0,41.0,10,5,1,-84.90146064784494,56.32083137002337,141.2222920178683
204,44.0,48.0,3,3,2,-66.47853671228222,74.91811321261775,141.39664992489998
205,43.0,44.0,7,6,0,59.76426043129322,-81.81569927028613,141.57995970157936
206,44.0,51.0,0,4,1,-63.79294006514829,77.96137754352094,141.75431760866923
207,44.0,43.0,8,1,4,71.32474274728156,-70.7947550694953,142.11949781677686
208,44.0,46.0,5,2,3,74.31427356776112,-68.16289193282137,142.4771655005825
209,43.0,42.0,9,5,1,-83.92723930714419,58.73323597023409,142.66047527737828
210,44.0,49.0,2,3,2,-65.4428949765861,77.39193820776563,142.83483318435174
211,43.0,45.0,6,6,0,62.29919916009385,-80.71894380098092,143.01814296107477
212,44.0,41.0,10,0,5,-72.61281453895208,70.58719885376195,143.20001339271403
213,44.0,44.0,7,1,4,-69.94655109313317,73.61112998330645,143.55768107643962
214,44.0,47.0,4,2,3,-67.19215382776747,76.72319493235409,143.91534876012156
215,43.0,43.0,8,5,1,61.20327106844343,-82.89538746837934,144.09865853682277
216,44.0,50.0,1,3,2,-64.34962274289865,79.92339370090485,144.2730164438035
217,43.0,46.0,5,6,0,64.89176838685671,-79.56455783369893,144.45632622055564
218,44.0,42.0,9,0,5,-71.82951419299934,72.80868245913734,144.63819665213668
219,44.0,45.0,6,1,4,-69.04071661860507,75.9551477172572,144.99586433586228
220,43.0,41.0,10,4,2,-85.17113507541944,60.00803903712949,145.17917411254894
221,44.0,48.0,3,2,3,-66.16378522467858,79.18974679488747,145.35353201956605
222,43.0,44.0,7,5,1,-81.80590513168136,63.730936664615,145.53684179629636
223,44.0,51.0,0,3,2,-63.19872001133626,82.51247969196993,145.7111997033062
224,43.0,47.0,4,6,0,-78.35254136844014,67.5419681115527,145.89450947999285
225,44.0,43.0,8,0,5,75.0877965624968,-70.98858334904071,146.07637991153751
226,44.0,46.0,5,1,4,78.35679594917747,-68.07725164604199,146.43404759521945
227,43.0,42.0,9,4,2,62.47080100268795,-84.14655636930547,146.61735737199342
228,44.0,49.0,2,2,3,81.71392915535398,-65.07778612368566,146.79171527903964
229,43.0,45.0,6,5,1,-80.65879229706479,66.3162327586906,146.9750250557554
230,43.0,48.0,3,6,0,70.24979833421094,-77.08289440527733,147.33269273948827
231,44.0,44.0,7,0,5,-70.09002200723626,77.42454116380395,147.5145631710402
232,44.0,47.0,4,1,4,80.81607467903814,-67.05615617567673,147.87223085471487
233,43.0,43.0,8,4,2,64.99119346616499,-83.06434716536023,148.05554063152522
234,44.0,50.0,1,2,3,-63.93415652465774,84.29574201380456,148.2298985384623
235,43.0,46.0,5,5,1,68.95915935077937,-79.45404896444234,148.4132083152217
236,43.0,49.0,2,6,0,-75.75561694412318,73.01525905482413,148.7708759989473
237,44.0,45.0,6,0,5,79.81891626305878,-69.13383016739681,148.9527464304556
238,43.0,41.0,10,3,3,63.566850233997684,-85.5692059732537,149.13605620725139
239,44.0,48.0,3,1,4,-65.97743020727648,83.3329839069047,149.31041411418119
240,43.0,44.0,7,4,2,-81.92450746327813,67.56921642766247,149.4937238909406
241,44.0,51.0,0,2,3,-62.732896427754895,86.93518537020282,149.6680817979577
242,43.0,47.0,4,5,1,71.65971644078672,-78.1916751338722,149.85139157465892
243,43.0,50.0,1,6,0,75.83835027347232,-74.37070898494858,150.2090592584209
244,44.0,46.0,5,0,5,-68.12000782963878,82.27092186029768,150.39092968993646
245,43.0,42.0,9,3,3,-84.49426990185748,66.07996956486022,150.5742394667177
246,44.0,49.0,2,1,4,-64.8410737409722,85.90752363265347,150.74859737362567
247,43.0,45.0,6,4,2,70.2048698870858,-80.72703726335021,150.93190715043602
248,42.0,41.0,10,7,0,55.011825451627374,-96.1033914755244,151.11521692715178
249,43.0,48.0,3,5,1,74.41790402878541,-76.87167080533982,151.28957483412523
250,43.0,51.0,0,6,0,78.71907199001726,-72.9281705278554,151.64724251787266
251,44.0,47.0,4,0,5,84.78055795553519,-67.04855499390396,151.82911294943915
252,43.0,43.0,8,3,3,68.65071939367044,-83.36170333248447,152.0124227261549
253,44.0,50.0,1,1,4,88.5396938564736,-63.64708677670569,152.1867806331793
254,43.0,46.0,5,4,2,-79.47193656535819,72.8981538444641,152.3700904098223
255,42.0,42.0,9,7,0,-94.7871770439524,57.76622314267297,152.55340018662537
256,43.0,49.0,2,5,1,-75.49403597885976,77.23372211480455,152.7277580936643
